余	（yu;rb,yu;rd,yu;rh,yv;rb,yv;rd,yv;rh）
佚	（dx;ru,yi;ru）
佛	（fo;rf,fu;rf）
作	（zo;rv）
佝	（gb;rj）
佞	（ny;rn）
佟	（ts;rd）
你	（ni;re）
佡	（xm;ru）
佢	（qu;rj,qv;rj）
佣	（ys;ry）
佤	（wa;rw）
佥	（qm;ra,qm;rh）
佦	（ui;ru）
佧	（ka;rk）
佨	（bk;rb）
佩	（pz;rb,pz;rj）
佪	（hv;rh,hy;rh）
佫	（ge;rg）
佬	（lk;rl）
佭	（xd;rj）
佮	（ge;rh）
佯	（yh;ry）
佰	（bl;rb）
佱	（fa;rv）
佲	（my;rm）
佳	（jw;rg）
佴	（er;re,nl;re）
併	（by;rb）
佶	（ji;rj）
佷	（hf;rg）
佸	（ho;ru）
佹	（gv;rw）
佺	（qr;rq）
佻	（tc;rv）
佼	（jc;rj）
佽	（ci;rc）
佾	（yi;ro,yi;ry）
使	（ui;rl）
侀	（xy;rx）
侁	（uf;rx）
侂	（to;rq,to;rt）
侃	（kj;ri）
侄	（vi;rv）
侅	（gl;rh）
來	（ll;ad,ll;hd,ll;mc,ll;mr）
侇	（yi;ry）
侈	（ii;rd）
侉	（kw;rk）
侊	（gs;rg）
例	（li;rl,lx;rl）
侌	（yn;jy）
侍	（ui;rs）
侎	（mi;rm）
侏	（vu;rv）
侐	（xu;rx,xv;rx）
侑	（yb;ry）
侒	（an;ra）
侓	（lv;ry）
侔	（mb;rm,mb;rn）
侕	（er;re）
侖	（lp;rc）
侗	（ds;rt,ts;rt）
侘	（ia;rv）
侙	（ii;ru）
侚	（xp;rx）
供	（gs;rg）
侜	（vb;rv）
依	（yi;ry）
侞	（ru;rr）
侟	（cp;rc）
侠	（xw;rj）
価	（si;rx）
侢	（dl;rz）
侣	（lv;rl）
侤	（ta;rk）
侥	（jc;ry,yk;ry）
侦	（vf;rv）
侧	（ce;rz,vl;rz,ze;rz）
侨	（qc;rq）
侩	（ky;rh）
侪	（il;rq）
侫	（ny;rw）
侬	（ns;rn）
侭	（jn;rj）
侮	（wu;rm）
侯	（hb;ru）
侰	（js;rj）
侱	（ig;ri）
侲	（vf;ri）
侳	（zo;rz）
侴	（hk;rd）
侵	（qn;ry）
侶	（lv;rl）
侷	（ju;rj,jv;rj）
侸	（db;rd,uu;rd）
侹	（ty;rt）
侺	（uf;rc）
侻	（to;rd,tv;rd）
侼	（bo;rb,bo;rz）
侽	（nj;rn）
侾	（xc;rx）
便	（bm;rg,pm;rg）
俀	（tv;rt）
俁	（yu;rw,yv;rw）
係	（xi;rx）
促	（cu;rz）
俄	（ee;rw）
俅	（qq;rq）
俆	（xu;ry,xv;ry）
俇	（gd;rk）
俈	（ku;rg）
俉	（wu;rw）
俊	（jp;rj,jp;rw）
俋	（yi;rb,yi;ry）
俌	（fu;rf）
俍	（ld;rl）
俎	（zu;qr,zu;rq）
俏	（qc;rx）
俐	（li;rl）
俑	（ys;ry）
俒	（hp;rw）
俓	（jy;rg,jy;rj）
俔	（qm;rj）
俕	（sj;rs）
俖	（pz;rf）
俗	（su;rg）
俘	（fu;rf）
俙	（xi;rx）
俚	（li;rl）
俛	（fu;rm）
俜	（py;rk,py;rp）
保	（bk;rd）
俞	（yu;rd,yu;ry,yv;rd,yv;ry）
俟	（qi;ru,qi;ry,si;ru,si;ry）
俠	（xw;rj）
信	（xn;ry）
俢	（xq;rp）
俣	（yu;rw,yv;rw）
俤	（di;rd）
俥	（ie;ri,ju;ri,jv;ri）
俦	（ib;ru）
俧	（vi;rv）
俨	（yj;ry）
俩	（ld;rl,lw;rl）
俪	（li;rl）
俫	（ll;rl）
俬	（si;rs）
俭	（jm;ra,jm;rh,jm;rq）
修	（xq;rp）
俯	（fu;rf）
俰	（ho;rh）
俱	（ju;rj,jv;rj）
俲	（xc;rx）
俳	（pl;rf）
俴	（jm;rj）
俵	（bc;rb）
俶	（iu;ru,ti;ru）
俷	（fz;rf）
俸	（fg;rf）
俹	（ya;ry）
俺	（an;rd,an;ry）
俻	（bz;rb）
俼	（yu;ry,yv;ry）
俽	（xn;rx）
俾	（bi;rb）
俿	（hu;rh,ii;rh）
倀	（ih;ri）
倁	（vi;rv）
倂	（by;rb）
倃	（jq;rj）
倄	（yk;ry）
倅	（cv;rz,zu;rz）
倆	（ld;rl,lw;rl）
倇	（wj;rw）
倈	（ll;rl）
倉	（ch;rk）
倊	（cs;rx,zs;rx）
個	（ge;rg）
倌	（gr;rg）
倍	（bz;rk,bz;rp）
倎	（tm;rd）
倏	（uu;rq）
倐	（uu;rh）
們	（mf;rm）
倒	（dk;rd）
倓	（tj;ry）
倔	（jt;rq）
倕	（iv;ri）
倖	（xy;rx）
倗	（pg;rp）
倘	（th;ru）
候	（hb;ru）
倚	（yi;rq）
倛	（qi;rq）
倜	（ti;rv）
倝	（gj;ru,gj;ur）
倞	（jy;rj,ld;rj）
借	（jx;rx）
倠	（sv;rv）
倡	（ih;ri）
倢	（jx;rj）
倣	（fh;rf）
値	（vi;ra,vi;rv）
倥	（ks;rk）
倦	（jr;rj）
倧	（zs;rz）
倨	（ju;rj,jv;rj）
倩	（qm;rq）
倪	（ni;re）
倫	（lp;rl）
倬	（vo;rv）
倭	（wo;rw）
倮	（lo;rg）
倯	（ss;rs）
倰	（lg;rl）
倱	（hp;rk）
倲	（ds;rd）
倳	（zi;ru）
倴	（bf;rb）
倵	（wu;rw）
倶	（ju;rb,ju;rj,jv;rb,jv;rj）
倷	（nl;rn）
倸	（cl;rc）
倹	（jm;rd,jm;rr）
债	（vl;rz）
倻	（ye;ry）
值	（vi;rv）
倽	（ua;ru）
倾	（qy;rq）
倿	（ny;rq）
偀	（yy;ry）
偁	（if;rr,ig;rr）
偂	（qm;rq）
偃	（yj;rn,yj;ry）
偄	（rr;rd）
